Date,Symbol,Expiry,Option Type,Strike Price,Open,High,Low,Close,Last,Settle Price,Number of Contracts,Turnover,Premium Turnover,Open Interest,Change in OI,Underlying
2012-10-26,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1072.1,0,0.0,,0,0,5664.3
2012-10-29,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1070.45,0,0.0,,0,0,5665.6
2012-10-30,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1001.05,0,0.0,,0,0,5597.9
2012-10-31,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1021.55,0,0.0,,0,0,5619.7
2012-11-01,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1046.25,0,0.0,,0,0,5645.05
2012-11-02,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1097.4,0,0.0,,0,0,5697.7
2012-11-05,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1100.55,0,0.0,,0,0,5704.2
2012-11-06,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1119.6,0,0.0,,0,0,5724.4
2012-11-07,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1153.55,0,0.0,,0,0,5760.1
2012-11-08,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1131.55,0,0.0,,0,0,5738.75
2012-11-09,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1078.2,0,0.0,,0,0,5686.25
2012-11-12,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1072.2,0,0.0,,0,0,5683.7
2012-11-13,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1054.35,0,0.0,,0,0,5666.95
2012-11-15,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1016.25,0,0.0,,0,0,5631.0
2012-11-16,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,958.15,0,0.0,,0,0,5574.05
2012-11-19,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,952.25,0,0.0,,0,0,5571.4
2012-11-20,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,951.5,0,0.0,,0,0,5571.55
2012-11-21,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,993.6,0,0.0,,0,0,5614.8
2012-11-22,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1005.9,0,0.0,,0,0,5627.75
2012-11-23,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1003.4,0,0.0,,0,0,5626.6
2012-11-26,NIFTY,2013-01-31,CE,4700.0,0.0,0.0,0.0,1114.1,0.0,1009.55,0,0.0,,0,0,5635.9
